,Column Labels,,,,,,,,,,,,,,,,,,,,,Column Labels,,,,,,,,,,,,,,,,,,,,,
,Success ,,UnSuccess ,,Total Count  ,Total   SQ-FT,,,,,,,,,,,,,,,,2021,,,,2022,,,,2023,,,,2024,,,,2025,,,,Total Count  ,Total   SQ-FT
Row Labels,Count  ,  SQ-FT,Count  ,  SQ-FT,,,,,,,,,,,,,,,,,,Success ,,UnSuccess ,,Success ,,UnSuccess ,,Success ,,UnSuccess ,,Success ,,UnSuccess ,,Success ,,UnSuccess ,,,
2021,100,149669,180,264717,280,414386,,,,,,,,,,,,,,,Row Labels,Count  ,  SQ-FT,Count  ,  SQ-FT,Count  ,  SQ-FT,Count  ,  SQ-FT,Count  ,  SQ-FT,Count  ,  SQ-FT,Count  ,  SQ-FT,Count  ,  SQ-FT,Count  ,  SQ-FT,Count  ,  SQ-FT,,
,Layout,,,,Layout Count  ,Layout   SQ-FT,resale,,,,resale Count  ,resale   SQ-FT,Total Count  ,Total   SQ-FT,,,,,,,Direct Office ,,,1,1260,,,3,5017,2,2302,8,10339,,,2,1897,5,10198,3,4062,24,35075
,Success ,,UnSuccess ,,,,Success ,,UnSuccess ,,,,,,,,,,,,Marketer Reference ,2,4800,3,5204,,,,,,,,,,,,,1,1134,3,5553,9,16691
Row Labels,Count  ,  SQ-FT,Count  ,  SQ-FT,,,Count  ,  SQ-FT,Count  ,  SQ-FT,,,,,,,,,,,Own Instagram,,,1,1096,,,,,,,,,1,820,1,374,4,6156,16,27320.5,23,35766.5
2021,21,20591,32,32091,53,52682,79,129078,148,232626,227,361704,280,414386,,,,,,,Own Banner,2,3250,,,,,,,3,3426,2,3206,6,7918,6,8960,10,14506,9,23468,38,64734
2022,155,181921,221,284540,376,466461,112,181554,254,463305,366,644859,742,1111320,,,,,,,Newspaper Add,3,5368,1,2400,2,2702,,,,,,,,,,,,,,,6,10470
2023,259,371355,290,401340,549,772695,67,129201,151,287750,218,416951,767,1189646,,,,,,,mediator Reference ,,,1,818,,,,,,,,,,,,,,,,,1,818
2024,357,463503.23,391,530465,748,993968.23,48,87343.5,183,396470.4,231,483813.9,979,1477782.13,,,,,,,What'sapp status,,,,,1,1296,1,947,,,,,,,,,,,,,2,2243
2025,473,643792,388,500654,861,1144446,176,320412.92,328,601900.3,504,922313.22,1365,2066759.22,,,,,,,Booking Client ,,,,,,,,,3,2442,1,1800,,,4,6533,3,4334,2,2093,13,17202
Grand Total,1265,1681162.23,1322,1749090,2587,3430252.23,482,847589.42,1064,1982051.7,1546,2829641.12,4133,6259893.35,,,,,,,Grand Total,100,149669,180,264717,267,363475,475,747845,326,500556,441,689090,405,550846.73,574,926935.4,649,964204.92,716,1102554.3,4133,6259893.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,,,,2022,,,,2023,,,,2024,,,,2025,,,,Total Count  ,Total   SQ-FT,,,,,,,,,,,,,,,,,,,,,
,Success ,,UnSuccess ,,Success ,,UnSuccess ,,Success ,,UnSuccess ,,Success ,,UnSuccess ,,Success ,,UnSuccess ,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Count  ,  SQ-FT,Count  ,  SQ-FT,Count  ,  SQ-FT,Count  ,  SQ-FT,Count  ,  SQ-FT,Count  ,  SQ-FT,Count  ,  SQ-FT,Count  ,  SQ-FT,Count  ,  SQ-FT,Count  ,  SQ-FT,,,,,,,,,,,,,,,,,,,,,,,
ECR,6,11222,5,7421,,,3,30500,18,54727,52,137704,50,89917,64,110206,41,86392,40,73533.8,279,601622.8,,,,,,,,,,,,,,,,,,,,,
GST,88,132150,166,247629,26,28674,30,28383,19,33116,30,57089,136,198523.73,245,463029.4,261,356385,352,505894.5,1353,2050873.63,,,,,,,,,,,,,,,,,,,,,
NELLIKUPPAM  ,5,4197,7,6367,201,271824,358,568188,157,228983,179,256735,29,35176,20,26835,51,87142,37,72574,1044,1558021,,,,,,,,,,,,,,,,,,,,,
OMR,1,2100,2,3300,40,62977,84,120774,132,183730,180,237562,190,227230,245,326865,296,434285.92,287,450552,1457,2049375.92,,,,,,,,,,,,,,,,,,,,,
Grand Total,100,149669,180,264717,267,363475,475,747845,326,500556,441,689090,405,550846.73,574,926935.4,649,964204.92,716,1102554.3,4133,6259893.35,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
